Source Name,Project code,Project Name,Projects
TG2146_Saadiyat Lagoons_HSE_Stats_Rev_Mar.xlsx,TG2146,Saadiyat Lagoons,TG2146_Saadiyat Lagoons
TG2149B_PRJ_HSE_Stats Mar.xlsx,TG2149B,Zayed Military University – Final Operating Capability (FOC),TG2149B_Zayed Military University – Final Operating Capability (FOC)
TG2151_PRJ_HSE_Stats_Report V4_Mar.xlsx,TG2151,Refurbishment of underground car parking,TG2151_Refurbishment of underground car parking
TG2152_HSE_Stats_Report V4_Rev_Mar.xlsx,TG2152,WATER EDGE PHASE 2- YAS_IB 2 GARDENIA ,TG2152_WATER EDGE PHASE 2- YAS_IB 2 GARDENIA 
TG2153_HSE_Stats_Report_Mar.xlsx,TG2153,EPC FOR FUEL FACILITIES AT ZIA ,TG2153_EPC FOR FUEL FACILITIES AT ZIA 
TG2156_PRJ_HSE_Stats_Report V4_00_Mar.xlsx,TG2156,Construction Of Mainland Villas & TownHouses 593No's,TG2156_Construction Of Mainland Villas & TownHouses 593No's
TG2162_PRJ_HSE_Stats_Report V4_Mar.xlsx,TG2162,Construction Of North & South Villas 32 No's,TG2162_Construction Of North & South Villas 32 No's
TG2163_P22 Hexagon March_HSE_Stats_Report V4_Mar.xlsx,TG2163,P22-Heptagon Project,TG2163_P22-Heptagon Project
TG2164_Maysan Development Phase 1_Mar.xlsx,TG2164,Maysan Development Phase 1,TG2164_Maysan Development Phase 1
TG2166_PRJ_HSE_Stats_Report V4_Mar.xlsx,TG2166,Zayed Military University – Final Operating Capability (FOC – 1B),TG2166_Zayed Military University – Final Operating Capability (FOC – 1B)
,TG2113,Mina Zayed Fisherman’s wharf Phase 1B – Main Works,TG2113_Mina Zayed Fisherman’s wharf Phase 1B – Main Works
,TG2131,Arabian Ranches 3 Development,TG2131_Arabian Ranches 3 Development
,TG2149,Zayed Military University (ZMU),TG2149_Zayed Military University (ZMU)
,P2216,P2216,P2216_P2216
,ZNM,ZNM,ZNM_ZNM
,TG2167,City Walk - Governmental Project Main Construction,TG2167_City Walk - Governmental Project Main Construction
,I069,UAE OMAN Railway Link Project Abu Dhabi-Sohar:Oman Section-1-Package B,I069_UAE OMAN Railway Link Project Abu Dhabi-Sohar:Oman Section-1-Package B
